Date,Price_Per_Barrel (USD) ,Price_Per_Liter (USD),Fuel_Type,Import_Volume (Barrels),Transportation_Cost (USD),Taxes (%),Storage_Cost (USD),Exchange_Rate_Fluctuations (%),Seasonal_Demand_Variations (Scale)
2024-12-31 00:00:00,72.44,0.455597484,Petroleum,16327,47.4,7.01,9.56,1.53,5.86
2024-12-30 00:00:00,71.73,0.451132075,Oil,6360,23.06,14.97,11.45,0.62,5.85
2024-12-27 00:00:00,71.28,0.448301887,Oil,10346,19.82,13.7,15.03,-1.37,2.52
2024-12-26 00:00:00,70.38,0.442641509,Petroleum,6919,25.1,6.48,15.75,-1.75,8.86
2024-12-25 00:00:00,0,0,Oil,7674,48.11,8.29,14.36,1.41,6.86
2024-12-24 00:00:00,70.87,0.44572327,Petroleum,6226,40.15,5.7,11.78,-2.31,8.54
2024-12-23 00:00:00,69.5,0.437106918,Petroleum,19776,25.44,12.35,13.48,0.1,4.98
2024-12-20 00:00:00,69.71,0.438427673,Gas,5862,21.39,5.17,14.21,-1.58,1.68
2024-12-19 00:00:00,70.1,0.440880503,Petroleum,13296,15.54,12.12,8.97,-1.24,4.56
2024-12-18 00:00:00,70.8,0.445283019,Gas,6299,20.29,10.76,9.99,1.63,6.3
2024-12-17 00:00:00,70.31,0.442201258,Gas,19319,26.82,14.09,15.81,2.89,4.5
2024-12-16 00:00:00,71.03,0.44672956,Oil,14045,42.33,7.25,15.75,2.43,8.78
2024-12-13 00:00:00,71.54,0.449937107,Gas,13419,14.51,14.27,14.42,0.24,6.52
2024-12-12 00:00:00,70.25,0.441823899,Petroleum,5523,20.66,6.41,6.81,0.1,10
2024-12-11 00:00:00,70.57,0.443836478,Oil,10159,23.32,13.37,13.44,1.87,2.53
2024-12-10 00:00:00,68.85,0.433018868,Petroleum,15222,37.41,9.08,11.76,-1.99,3.06
2024-12-09 00:00:00,68.65,0.431761006,Gas,11875,48.7,5.82,12.28,0.43,5.63
2024-12-06 00:00:00,68.58,0.431320755,Oil,5322,44.69,12.85,16.13,-2.49,4.42
2024-12-05 00:00:00,68.58,0.431320755,Gas,17414,28.89,6.8,11.02,1.13,6.05
2024-12-04 00:00:00,68.81,0.432767296,Gas,19464,45.08,5.26,8.22,-0.72,3.34
2024-12-03 00:00:00,70.15,0.441194969,Oil,7469,32.4,11.11,17.21,1.27,9.36
2024-12-02 00:00:00,68.35,0.429874214,Oil,15937,40.47,6.25,17.37,0.9,2.93
2024-11-29 00:00:00,68.26,0.429308176,Petroleum,8280,46.47,10.18,8.95,-0.15,6.67
2024-11-28 00:00:00,0,0,Oil,9632,13.87,7.16,5.47,2.22,6.58
2024-11-27 00:00:00,69.03,0.434150943,Oil,10296,42.84,11.57,12.01,2.44,5.44
2024-11-26 00:00:00,69.05,0.43427673,Oil,11958,48.3,10.69,14.93,0.28,8.17
2024-11-25 00:00:00,69.41,0.436540881,Oil,5559,42.64,12.81,9.5,1.77,4.72
2024-11-22 00:00:00,71.68,0.45081761,Gas,19029,11.73,9.57,15.62,-1.7,3.85
2024-11-21 00:00:00,70.39,0.442704403,Gas,11744,22.73,6.53,5.37,1.06,1.09
2024-11-20 00:00:00,69.25,0.435534591,Petroleum,18163,40.3,12.58,5.88,-1.97,1.11
2024-11-19 00:00:00,69.75,0.438679245,Oil,17790,26.05,10.83,12.84,-1.2,9.24
2024-11-18 00:00:00,69.46,0.436855346,Oil,7655,21.96,6.05,14.11,-2.3,2.28
2024-11-15 00:00:00,67.33,0.423459119,Oil,13786,41.44,10.6,8.29,-2.44,5.3
2024-11-14 00:00:00,68.99,0.433899371,Gas,16513,38.58,6.28,5.08,-1.75,6.33
2024-11-13 00:00:00,68.76,0.43245283,Petroleum,16164,19.45,8.94,10.42,0.93,3.58
2024-11-12 00:00:00,68.43,0.430377358,Petroleum,8176,11.36,7.73,14.22,0.06,5.41
2024-11-11 00:00:00,0,0,Petroleum,14038,48.15,10.83,5.05,2.24,8.67
2024-11-08 00:00:00,70.69,0.444591195,Gas,7320,22.73,6.25,13.06,2.21,9.06
2024-11-07 00:00:00,72.69,0.457169811,Oil,14904,43.61,10.26,10.36,0.5,1.54
2024-11-06 00:00:00,71.98,0.452704403,Oil,9884,21.83,12.57,8.47,2.25,9.26
2024-11-05 00:00:00,72.26,0.454465409,Gas,15918,19.4,5.21,8.09,0.74,7.37
2024-11-04 00:00:00,71.83,0.451761006,Petroleum,19814,15.74,7.3,18.92,0.94,7.98
2024-11-01 00:00:00,69.81,0.439056604,Gas,13310,11.31,8.16,8.62,1.63,7.98
2024-10-31 00:00:00,69.58,0.437610063,Oil,17138,22.03,6.6,18.33,0.51,2.97
2024-10-30 00:00:00,68.91,0.433396226,Petroleum,13306,10.41,5.62,5.85,0.26,5.46
2024-10-29 00:00:00,67.48,0.424402516,Petroleum,6476,11.89,14.3,17,-2.81,6.93
2024-10-28 00:00:00,67.65,0.425471698,Gas,14016,48.4,13.32,16.94,2.85,2.81
2024-10-25 00:00:00,72.02,0.452955975,Petroleum,15021,13.24,13.53,5.87,0.87,4.09
2024-10-24 00:00:00,70.58,0.443899371,Oil,9354,18.11,10.62,5.56,2.29,8.74
2024-10-23 00:00:00,71.37,0.448867925,Oil,5625,36.45,11.49,8.43,0.89,1.34
2024-10-22 00:00:00,72.84,0.458113208,Oil,5208,27.9,6.62,19.47,-1.27,8.96
2024-10-21 00:00:00,71.16,0.44754717,Oil,14811,46.52,10.42,13.31,-2.86,9.09
2024-10-18 00:00:00,69.78,0.438867925,Gas,16553,45.31,9.13,15.4,-0.32,3.97
2024-10-17 00:00:00,71.26,0.448176101,Petroleum,17171,16.83,11.82,8.32,0.94,7.31
2024-10-16 00:00:00,70.97,0.446352201,Petroleum,10350,21.76,14.35,16.18,-0.76,7.3
2024-10-15 00:00:00,71.22,0.447924528,Oil,9164,13.84,9.25,14.38,1.76,4.59
2024-10-14 00:00:00,0,0,Petroleum,15168,10.9,14.09,15.11,0.46,9.23
2024-10-11 00:00:00,76.11,0.478679245,Oil,17443,31.75,14.18,10.26,2.55,3.9
2024-10-10 00:00:00,76.46,0.480880503,Oil,5209,41.16,6.08,8.63,-2.06,6.7
2024-10-09 00:00:00,73.85,0.464465409,Petroleum,19526,41.55,9.67,14.63,2.86,9.18
2024-10-08 00:00:00,74.26,0.467044025,Petroleum,18767,44.38,5.28,17.63,2.35,5.58
2024-10-07 00:00:00,77.76,0.489056604,Petroleum,14061,48.29,13.13,8.99,-2.29,2
2024-10-04 00:00:00,74.93,0.471257862,Gas,19950,10,14.2,12.2,-1.73,8.8
2024-10-03 00:00:00,74.33,0.467484277,Oil,18449,49.03,14.69,6.73,-1.65,5.36
2024-10-02 00:00:00,70.74,0.44490566,Gas,6505,15.35,7.01,9.06,-2.39,3.43
2024-10-01 00:00:00,70.41,0.442830189,Petroleum,12196,11.29,8.08,8.07,1.8,4.94
2024-09-30 00:00:00,68.75,0.432389937,Oil,8587,23.48,6.74,12.62,1.9,9.22
2024-09-27 00:00:00,68.72,0.432201258,Petroleum,11893,26.91,12.98,19.87,0.63,2.85
2024-09-26 00:00:00,68.28,0.429433962,Petroleum,16164,46.07,8.59,12.68,-0.73,8.78
2024-09-25 00:00:00,70.42,0.442893082,Gas,17779,17.46,9.15,10.98,2.13,5.38
2024-09-24 00:00:00,72.34,0.454968553,Petroleum,7327,41.87,13.45,9.13,-1.73,9.8
2024-09-23 00:00:00,71.33,0.448616352,Oil,16068,39.35,5.13,17.87,-0.47,9.67
2024-09-20 00:00:00,72.72,0.457358491,Petroleum,12423,48.24,12.38,14,-2.21,7.89
2024-09-19 00:00:00,72.86,0.458238994,Gas,5284,28.6,5.88,7.71,-1.66,7.04
2024-09-18 00:00:00,71.87,0.452012579,Oil,12151,12.99,5.84,17.71,0.44,2.26
